name,text
,
,
,
Medhavi Pande,"PICT believes in bringing the best out of each student. The faculty has always been very supportive. Apart from the academics and placements being above expectations, the college has always encouraged students to participate in extra-co curricular activities."
Sourav Patil,"PICT has been a great contributor to the development of my personality. I have established my leadership, time management and team skills and have also been able to advance these skills to the whole new augment level. With an attitude of being ever ready to help, and not only delivering classroom teachings, but they are also the pillars of the learning gained from this esteemed college and this is a treasure for life. It was wonderful experience of learning with prolific exposure to outside. Huge respect, love and devotion for entire faculty members and department. It's their efforts that make me to count myself into better professionals."
,
,
,
,
,
,
,
,
,
